item_id,legalbench_task,domain,task_family,ground_truth,expert_prompt_preview
diversity_2__test__0,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Sophia is from Arkansas. Benjamin is from Hawaii. Noah is from Arkansas. Sophia sues Benjamin and Noah each for defamation for $24,000."
diversity_2__test__1,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from Alaska. Emma is from Mississippi. Henry is from Alaska. Oliver sues Emma and Henry each for patent infringement for $3,556,000."
diversity_2__test__2,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Harper is from Wyoming. Liam is from Hawaii. Lucas is from New Mexico. Harper sues Liam and Lucas each for trespass for $50,000."
diversity_2__test__3,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Elijah is from Virginia. Ava is from Virginia. Sophia is from New York. Elijah sues Ava and Sophia each for trespass for $5,063,000."
diversity_2__test__4,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"James is from Iowa. Benjamin is from Oklahoma. Harper is from Iowa. James sues Benjamin and Harper each for wrongful eviction for $16,000."
diversity_2__test__5,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Evelyn is from Minnesota. Emma is from Massachusetts. William is from Maryland. Evelyn sues Emma and William each for negligence for $3,810,000."
diversity_2__test__6,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from Connecticut. William is from New Jersey. Sophia is from Nevada. Lucas sues William and Sophia each for patent infringement for $14,000."
diversity_2__test__7,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Liam is from Kansas. Elijah is from Arizona. Isabella is from Utah. Liam sues Elijah and Isabella each for securities fraud for $61,000."
diversity_2__test__8,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Charlotte is from North Dakota. Mia is from Indiana. Harper is from Idaho. Charlotte sues Mia and Harper each for medical malpractice for $4,487,000."
diversity_2__test__9,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Harper is from Alabama. William is from Utah. Benjamin is from Alabama. Harper sues William and Benjamin each for copyright infringement for $8,660,000."
diversity_2__test__12,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Amelia is from Pennsylvania. Ava is from Wisconsin. Emma is from Connecticut. Amelia sues Ava and Emma each for negligence for $7,601,000."
diversity_2__test__13,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Charlotte is from Indiana. Elijah is from Florida. Benjamin is from Illinois. Charlotte sues Elijah and Benjamin each for medical malpractice for $3,981,000."
diversity_2__test__14,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Theodore is from Oregon. Elijah is from Oregon. Noah is from Connecticut. Theodore sues Elijah and Noah each for defamation for $2,957,000."
diversity_2__test__15,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Isabella is from North Dakota. Ava is from Wisconsin. Henry is from North Dakota. Isabella sues Ava and Henry each for trademark infringement for $3,483,000."
diversity_2__test__16,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Theodore is from Virginia. Elijah is from Louisiana. Oliver is from Alaska. Theodore sues Elijah and Oliver each for copyright infringement for $9,118,000."
diversity_2__test__17,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Olivia is from Pennsylvania. Ava is from Minnesota. Elijah is from Washington. Olivia sues Ava and Elijah each for medical malpractice for $6,000."
diversity_2__test__18,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Evelyn is from California. Mia is from California. Charlotte is from New Hampshire. Evelyn sues Mia and Charlotte each for patent infringement for $24,000."
diversity_2__test__19,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Mia is from Arkansas. Oliver is from Texas. Amelia is from Arkansas. Mia sues Oliver and Amelia each for copyright infringement for $6,317,000."
diversity_2__test__21,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Ava is from Massachusetts. Evelyn is from Illinois. Benjamin is from Arizona. Ava sues Evelyn and Benjamin each for negligence for $6,757,000."
diversity_2__test__22,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Sophia is from Hawaii. Mia is from Illinois. Harper is from Colorado. Sophia sues Mia and Harper each for patent infringement for $48,000."
diversity_2__test__24,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"James is from Virginia. William is from Minnesota. Elijah is from South Dakota. James sues William and Elijah each for negligence for $52,000."
diversity_2__test__25,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Noah is from Illinois. Elijah is from Illinois. Ava is from Wisconsin. Noah sues Elijah and Ava each for trespass for $24,000."
diversity_2__test__26,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Charlotte is from Missouri. Harper is from Louisiana. Mia is from South Dakota. Charlotte sues Harper and Mia each for defamation for $7,468,000."
diversity_2__test__27,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Olivia is from Maine. Noah is from Maine. Isabella is from Rhode Island. Olivia sues Noah and Isabella each for patent infringement for $6,897,000."
diversity_2__test__28,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from Florida. Benjamin is from Florida. William is from West Virginia. Oliver sues Benjamin and William each for patent infringement for $3,827,000."
diversity_2__test__29,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Isabella is from Ohio. William is from California. Amelia is from Iowa. Isabella sues William and Amelia each for trespass for $71,000."
diversity_2__test__30,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Emma is from Maryland. Olivia is from Maryland. Mia is from Maryland. Emma sues Olivia and Mia each for wrongful eviction for $10,000."
diversity_2__test__31,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Charlotte is from Connecticut. William is from Virginia. Amelia is from Washington. Charlotte sues William and Amelia each for defamation for $50,000."
diversity_2__test__32,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Isabella is from Connecticut. Henry is from Connecticut. Benjamin is from Iowa. Isabella sues Henry and Benjamin each for wrongful eviction for $9,197,000."
diversity_2__test__34,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Liam is from Alaska. Sophia is from Wyoming. Isabella is from Hawaii. Liam sues Sophia and Isabella each for medical malpractice for $72,000."
diversity_2__test__35,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from Tennessee. Ava is from Missouri. Henry is from Tennessee. Lucas sues Ava and Henry each for defamation for $24,000."
diversity_2__test__36,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from Pennsylvania. Amelia is from Illinois. Ava is from Pennsylvania. Oliver sues Amelia and Ava each for medical malpractice for $216,000."
diversity_2__test__37,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Harper is from Louisiana. Mia is from Louisiana. Lucas is from Louisiana. Harper sues Mia and Lucas each for copyright infringement for $9,370,000."
diversity_2__test__38,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Benjamin is from Wyoming. Theodore is from Georgia. Ava is from Texas. Benjamin sues Theodore and Ava each for negligence for $8,302,000."
diversity_2__test__39,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Noah is from Connecticut. Harper is from Alabama. Mia is from Connecticut. Noah sues Harper and Mia each for trademark infringement for $3,188,000."
diversity_2__test__40,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Emma is from Mississippi. Harper is from Mississippi. Oliver is from New Mexico. Emma sues Harper and Oliver each for copyright infringement for $8,449,000."
diversity_2__test__41,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Noah is from West Virginia. Oliver is from Iowa. Mia is from West Virginia. Noah sues Oliver and Mia each for trademark infringement for $68,000."
diversity_2__test__42,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"James is from West Virginia. Sophia is from South Dakota. William is from Oregon. James sues Sophia and William each for trespass for $2,661,000."
diversity_2__test__43,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Ava is from Alaska. Theodore is from Alaska. Oliver is from Arkansas. Ava sues Theodore and Oliver each for wrongful eviction for $8,835,000."
diversity_2__test__44,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Harper is from Michigan. Benjamin is from Vermont. Noah is from Minnesota. Harper sues Benjamin and Noah each for medical malpractice for $3,732,000."
diversity_2__test__45,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from Georgia. Liam is from California. Henry is from Nebraska. Lucas sues Liam and Henry each for securities fraud for $21,000."
diversity_2__test__46,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"James is from Montana. Theodore is from Florida. Henry is from Michigan. James sues Theodore and Henry each for trespass for $5,907,000."
diversity_2__test__47,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Elijah is from Illinois. Isabella is from Arkansas. Noah is from Oklahoma. Elijah sues Isabella and Noah each for securities fraud for $6,442,000."
diversity_2__test__48,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Theodore is from Kentucky. Emma is from Hawaii. James is from Pennsylvania. Theodore sues Emma and James each for defamation for $5,864,000."
diversity_2__test__49,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"William is from Oklahoma. Theodore is from California. Henry is from New Mexico. William sues Theodore and Henry each for securities fraud for $11,000."
diversity_2__test__50,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Liam is from Massachusetts. Evelyn is from Vermont. Emma is from Massachusetts. Liam sues Evelyn and Emma each for securities fraud for $55,000."
diversity_2__test__51,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Isabella is from Maine. Benjamin is from New Hampshire. Theodore is from North Carolina. Isabella sues Benjamin and Theodore each for securities fraud for $4,148,000."
diversity_2__test__52,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from South Carolina. Lucas is from South Carolina. Charlotte is from North Carolina. Oliver sues Lucas and Charlotte each for trespass for $6,010,000."
diversity_2__test__53,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Elijah is from Maryland. Henry is from Maryland. Evelyn is from Hawaii. Elijah sues Henry and Evelyn each for copyright infringement for $8,665,000."
diversity_2__test__54,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Theodore is from New Mexico. Emma is from Colorado. Oliver is from New Mexico. Theodore sues Emma and Oliver each for medical malpractice for $2,000."
diversity_2__test__55,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Evelyn is from Georgia. Olivia is from California. Isabella is from Connecticut. Evelyn sues Olivia and Isabella each for patent infringement for $2,037,000."
diversity_2__test__56,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Harper is from Massachusetts. Mia is from Massachusetts. Isabella is from Hawaii. Harper sues Mia and Isabella each for medical malpractice for $8,887,000."
diversity_2__test__57,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Ava is from New Hampshire. James is from West Virginia. Oliver is from New Mexico. Ava sues James and Oliver each for patent infringement for $65,000."
diversity_2__test__58,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from Oregon. James is from Oregon. Benjamin is from Louisiana. Lucas sues James and Benjamin each for trademark infringement for $13,000."
diversity_2__test__59,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Amelia is from New Mexico. Henry is from Maryland. Noah is from New Mexico. Amelia sues Henry and Noah each for copyright infringement for $5,215,000."
diversity_2__test__60,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Isabella is from Montana. Elijah is from Tennessee. Liam is from Oklahoma. Isabella sues Elijah and Liam each for negligence for $4,248,000."
diversity_2__test__61,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Elijah is from Arizona. Oliver is from Hawaii. Theodore is from Arizona. Elijah sues Oliver and Theodore each for breach of contract for $15,000."
diversity_2__test__62,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Sophia is from Connecticut. Liam is from Rhode Island. Noah is from Nevada. Sophia sues Liam and Noah each for securities fraud for $43,000."
diversity_2__test__63,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Liam is from Oregon. Oliver is from Minnesota. William is from Hawaii. Liam sues Oliver and William each for medical malpractice for $34,000."
diversity_2__test__64,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Sophia is from Delaware. Liam is from Hawaii. James is from Delaware. Sophia sues Liam and James each for securities fraud for $45,000."
diversity_2__test__65,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Emma is from Nevada. Amelia is from Nevada. Evelyn is from North Dakota. Emma sues Amelia and Evelyn each for securities fraud for $7,239,000."
diversity_2__test__66,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Lucas is from Missouri. Evelyn is from Louisiana. Mia is from California. Lucas sues Evelyn and Mia each for patent infringement for $4,781,000."
diversity_2__test__67,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"James is from Nevada. Ava is from California. Evelyn is from Tennessee. James sues Ava and Evelyn each for copyright infringement for $16,000."
diversity_2__test__68,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Charlotte is from Alabama. Benjamin is from California. Mia is from Mississippi. Charlotte sues Benjamin and Mia each for trademark infringement for $44,000."
diversity_2__test__69,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from Wyoming. Sophia is from West Virginia. Harper is from Oklahoma. Oliver sues Sophia and Harper each for breach of contract for $28,000."
diversity_2__test__70,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Henry is from Illinois. Liam is from Alabama. Ava is from Oklahoma. Henry sues Liam and Ava each for trespass for $44,000."
diversity_2__test__71,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from Wyoming. Emma is from Illinois. Mia is from Rhode Island. Lucas sues Emma and Mia each for trespass for $40,000."
diversity_2__test__72,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"William is from North Dakota. Benjamin is from Hawaii. Emma is from Nevada. William sues Benjamin and Emma each for trespass for $54,000."
diversity_2__test__73,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Mia is from Massachusetts. Sophia is from Nebraska. Noah is from Massachusetts. Mia sues Sophia and Noah each for securities fraud for $27,000."
diversity_2__test__74,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Henry is from Tennessee. Harper is from Nevada. James is from Mississippi. Henry sues Harper and James each for legal malpractice for $750,000."
diversity_2__test__75,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Evelyn is from North Carolina. William is from Nebraska. Henry is from North Carolina. Evelyn sues William and Henry each for patent infringement for $22,000."
diversity_2__test__76,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Benjamin is from Rhode Island. Noah is from Rhode Island. Emma is from California. Benjamin sues Noah and Emma each for trademark infringement for $72,000."
diversity_2__test__77,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Noah is from Iowa. Isabella is from New Jersey. Sophia is from Ohio. Noah sues Isabella and Sophia each for legal malpractice for $5,528,000."
diversity_2__test__78,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Theodore is from New Jersey. Emma is from Nevada. Noah is from New Jersey. Theodore sues Emma and Noah each for defamation for $21,000."
diversity_2__test__79,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Lucas is from Nebraska. Noah is from Missouri. Benjamin is from Virginia. Lucas sues Noah and Benjamin each for medical malpractice for $2,112,000."
diversity_2__test__80,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from North Dakota. Noah is from North Dakota. Emma is from Nevada. Oliver sues Noah and Emma each for trademark infringement for $9,843,000."
diversity_2__test__81,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Henry is from South Dakota. Isabella is from Alaska. Lucas is from Mississippi. Henry sues Isabella and Lucas each for negligence for $4,000."
diversity_2__test__82,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Elijah is from Ohio. Mia is from Ohio. Lucas is from Connecticut. Elijah sues Mia and Lucas each for trespass for $72,000."
diversity_2__test__83,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Olivia is from Florida. Benjamin is from Colorado. William is from Illinois. Olivia sues Benjamin and William each for legal malpractice for $3,328,000."
diversity_2__test__84,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Charlotte is from Nebraska. Lucas is from Rhode Island. Amelia is from Vermont. Charlotte sues Lucas and Amelia each for patent infringement for $60,000."
diversity_2__test__85,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Sophia is from Indiana. William is from Colorado. Isabella is from Wisconsin. Sophia sues William and Isabella each for securities fraud for $58,000."
diversity_2__test__86,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Isabella is from Arkansas. Elijah is from Wisconsin. Liam is from Arkansas. Isabella sues Elijah and Liam each for patent infringement for $7,188,000."
diversity_2__test__87,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Harper is from Montana. Theodore is from Georgia. William is from Montana. Harper sues Theodore and William each for medical malpractice for $2,816,000."
diversity_2__test__88,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Liam is from Florida. Emma is from Wyoming. Evelyn is from Michigan. Liam sues Emma and Evelyn each for trademark infringement for $7,000."
diversity_2__test__89,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Liam is from Alabama. William is from Maine. Olivia is from Virginia. Liam sues William and Olivia each for legal malpractice for $23,000."
diversity_2__test__90,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Henry is from New Hampshire. Theodore is from Rhode Island. Mia is from New Hampshire. Henry sues Theodore and Mia each for trademark infringement for $2,065,000."
diversity_2__test__91,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Amelia is from Arkansas. Charlotte is from Tennessee. Theodore is from Oklahoma. Amelia sues Charlotte and Theodore each for negligence for $8,589,000."
diversity_2__test__92,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Lucas is from South Carolina. Sophia is from Vermont. Liam is from Illinois. Lucas sues Sophia and Liam each for patent infringement for $4,724,000."
diversity_2__test__93,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Noah is from Massachusetts. Isabella is from Tennessee. Charlotte is from Michigan. Noah sues Isabella and Charlotte each for medical malpractice for $31,000."
diversity_2__test__94,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Benjamin is from Vermont. Evelyn is from Vermont. William is from Arkansas. Benjamin sues Evelyn and William each for medical malpractice for $8,552,000."
diversity_2__test__95,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"William is from Maine. Liam is from Idaho. Amelia is from Pennsylvania. William sues Liam and Amelia each for copyright infringement for $7,099,000."
diversity_2__test__96,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Mia is from Utah. Amelia is from Florida. Olivia is from Utah. Mia sues Amelia and Olivia each for securities fraud for $4,120,000."
diversity_2__test__97,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Harper is from Indiana. Sophia is from Kentucky. Elijah is from Mississippi. Harper sues Sophia and Elijah each for medical malpractice for $8,182,000."
diversity_2__test__98,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Mia is from Rhode Island. Lucas is from Maine. Benjamin is from Georgia. Mia sues Lucas and Benjamin each for patent infringement for $2,642,000."
diversity_2__test__99,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Charlotte is from Oklahoma. James is from California. Oliver is from Oklahoma. Charlotte sues James and Oliver each for medical malpractice for $56,000."
diversity_2__test__100,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Charlotte is from Missouri. Noah is from New Hampshire. Benjamin is from Missouri. Charlotte sues Noah and Benjamin each for copyright infringement for $4,000."
diversity_2__test__101,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Noah is from Minnesota. Mia is from Kansas. Harper is from Missouri. Noah sues Mia and Harper each for legal malpractice for $27,000."
diversity_2__test__102,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Elijah is from Georgia. Emma is from Kentucky. Liam is from Wisconsin. Elijah sues Emma and Liam each for securities fraud for $73,000."
diversity_2__test__103,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Noah is from West Virginia. James is from Ohio. Mia is from Hawaii. Noah sues James and Mia each for breach of contract for $6,581,000."
diversity_2__test__104,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Sophia is from Louisiana. Henry is from Georgia. Mia is from Missouri. Sophia sues Henry and Mia each for trespass for $9,650,000."
diversity_2__test__105,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Amelia is from Colorado. Benjamin is from North Carolina. Lucas is from Hawaii. Amelia sues Benjamin and Lucas each for trespass for $8,906,000."
diversity_2__test__106,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Emma is from Oregon. Lucas is from Oregon. Amelia is from North Dakota. Emma sues Lucas and Amelia each for legal malpractice for $4,000."
diversity_2__test__107,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Mia is from Oklahoma. Noah is from Oklahoma. Theodore is from Nevada. Mia sues Noah and Theodore each for wrongful eviction for $2,059,000."
diversity_2__test__108,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Ava is from Mississippi. Evelyn is from North Carolina. Liam is from Minnesota. Ava sues Evelyn and Liam each for breach of contract for $64,000."
diversity_2__test__109,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Elijah is from Iowa. Evelyn is from Vermont. Henry is from Nebraska. Elijah sues Evelyn and Henry each for medical malpractice for $15,000."
diversity_2__test__110,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Ava is from Vermont. William is from Vermont. Benjamin is from Oklahoma. Ava sues William and Benjamin each for trademark infringement for $6,716,000."
diversity_2__test__111,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Olivia is from Hawaii. Ava is from Wyoming. Isabella is from New Jersey. Olivia sues Ava and Isabella each for securities fraud for $3,993,000."
diversity_2__test__112,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Henry is from Maine. Oliver is from Missouri. Liam is from Utah. Henry sues Oliver and Liam each for trespass for $3,182,000."
diversity_2__test__113,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from California. Charlotte is from Kentucky. Mia is from California. Lucas sues Charlotte and Mia each for medical malpractice for $9,266,000."
diversity_2__test__114,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Liam is from Arkansas. Harper is from Wisconsin. Benjamin is from Iowa. Liam sues Harper and Benjamin each for defamation for $8,525,000."
diversity_2__test__115,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from Montana. Isabella is from Montana. Olivia is from New Hampshire. Lucas sues Isabella and Olivia each for negligence for $6,141,000."
diversity_2__test__116,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Ava is from New Jersey. Evelyn is from Colorado. Mia is from Utah. Ava sues Evelyn and Mia each for securities fraud for $8,000."
diversity_2__test__117,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from Arkansas. James is from Arkansas. Lucas is from Arkansas. Oliver sues James and Lucas each for legal malpractice for $57,000."
diversity_2__test__118,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Evelyn is from Texas. Theodore is from Arizona. Henry is from Oklahoma. Evelyn sues Theodore and Henry each for patent infringement for $45,000."
diversity_2__test__119,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Lucas is from Nebraska. Charlotte is from Florida. William is from Nebraska. Lucas sues Charlotte and William each for breach of contract for $58,000."
diversity_2__test__120,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Theodore is from Kentucky. Oliver is from North Dakota. Henry is from West Virginia. Theodore sues Oliver and Henry each for legal malpractice for $56,000."
diversity_2__test__121,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Ava is from New York. Evelyn is from Hawaii. Mia is from New York. Ava sues Evelyn and Mia each for legal malpractice for $2,041,000."
diversity_2__test__122,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Emma is from Hawaii. Henry is from Kansas. Evelyn is from Arkansas. Emma sues Henry and Evelyn each for defamation for $30,000."
diversity_2__test__123,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Benjamin is from Kansas. Theodore is from Wyoming. Lucas is from Nebraska. Benjamin sues Theodore and Lucas each for breach of contract for $6,981,000."
diversity_2__test__124,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Mia is from Washington. Emma is from Tennessee. Ava is from Nevada. Mia sues Emma and Ava each for legal malpractice for $44,000."
diversity_2__test__125,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Amelia is from Nebraska. Sophia is from Nebraska. Elijah is from New Hampshire. Amelia sues Sophia and Elijah each for trademark infringement for $4,169,000."
diversity_2__test__126,diversity_2,civil_procedure_diversity,civil_procedure_diversity,Yes,"Emma is from Maine. Evelyn is from Kentucky. Olivia is from Georgia. Emma sues Evelyn and Olivia each for breach of contract for $7,917,000."
diversity_2__test__127,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"William is from New York. Noah is from New York. Mia is from Virginia. William sues Noah and Mia each for wrongful eviction for $8,416,000."
diversity_2__test__128,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Isabella is from Minnesota. Charlotte is from Tennessee. Harper is from Mississippi. Isabella sues Charlotte and Harper each for negligence for $3,000."
diversity_2__test__129,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Benjamin is from Wyoming. Henry is from Hawaii. James is from Wyoming. Benjamin sues Henry and James each for negligence for $197,000."
diversity_2__test__130,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Benjamin is from South Carolina. Amelia is from Indiana. Mia is from South Carolina. Benjamin sues Amelia and Mia each for wrongful eviction for $22,000."
diversity_2__test__131,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Oliver is from Mississippi. Liam is from Mississippi. Benjamin is from Minnesota. Oliver sues Liam and Benjamin each for copyright infringement for $4,737,000."
diversity_2__test__132,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Noah is from Wisconsin. Sophia is from Massachusetts. Elijah is from Wisconsin. Noah sues Sophia and Elijah each for patent infringement for $1,000."
diversity_2__test__133,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Ava is from California. Henry is from California. Isabella is from Maryland. Ava sues Henry and Isabella each for negligence for $41,000."
diversity_2__test__134,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Evelyn is from Montana. Sophia is from California. Benjamin is from Montana. Evelyn sues Sophia and Benjamin each for trespass for $66,000."
diversity_2__test__135,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Sophia is from Kentucky. Amelia is from Nevada. Charlotte is from Iowa. Sophia sues Amelia and Charlotte each for breach of contract for $60,000."
diversity_2__test__136,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"William is from New Hampshire. Ava is from Pennsylvania. Sophia is from New Hampshire. William sues Ava and Sophia each for wrongful eviction for $8,136,000."
diversity_2__test__137,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"James is from Tennessee. Benjamin is from Delaware. Olivia is from Idaho. James sues Benjamin and Olivia each for breach of contract for $12,000."
diversity_2__test__138,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Evelyn is from Colorado. James is from Nevada. Harper is from Colorado. Evelyn sues James and Harper each for breach of contract for $44,000."
diversity_2__test__139,diversity_2,civil_procedure_diversity,civil_procedure_diversity,No,"Olivia is from Maryland. James is from Hawaii. Charlotte is from Maryland. Olivia sues James and Charlotte each for copyright infringement for $7,828,000."
